,Unnamed: 0,villeID,size,lat,long
1296,1296,Santiago Momoxpan,17622,19.07361,-98.26694
1303,1303,Libres,15536,19.46574,-97.68737
1308,1308,Kanasín,77240,20.93482,-89.55871
1322,1322,Ébano,24296,22.21808,-98.37706
1323,1323,Cuautla,157336,18.8106,-98.93525
1324,1324,Coxcatlán,6300,18.26709,-97.15078
1326,1326,Coatepec Harinas,7243,18.89492,-99.72153
1328,1328,Ciudad Camargo,7984,26.31437,-98.83378
1333,1333,San Lorenzo Cacaotepec,7351,17.12774,-96.80244
1334,1334,Bacalar,11513,18.68109,-88.39333
1337,1337,Ciudad Ayala,6777,18.76694,-98.98222
1339,1339,Atlautla,10967,19.02188,-98.77859
1340,1340,Apaxco de Ocampo,13836,19.97512,-99.17112
1344,1344,Agua Dulce,5910,20.36337,-97.29315
1345,1345,San Lorenzo Acopilco,23037,19.33002,-99.32721
1351,1351,Santa María Jalapa del Marqués,8996,16.44027,-95.44454
1353,1353,San Blas Atempa,11959,16.33103,-95.22559
1371,1371,Xocotlán,5082,19.51633,-98.84633
1372,1372,San Miguel Tlaixpan,7064,19.50958,-98.81083
1373,1373,Santa Ana Tlachiahualpa,5781,19.76869,-98.90885
1393,1393,Villa Progreso,5604,20.64234,-99.83501
1395,1395,San Francisco Tepeolulco,6954,19.83291,-99.98834
1399,1399,San Pedro Totoltepec,21076,19.31108,-99.57197
1402,1402,Melchor Ocampo,38599,19.70186,-99.14485
1405,1405,Isla del Bosque,5820,22.73306,-105.84556
1409,1409,Villanueva,12269,22.35527,-102.88264
1417,1417,Santa Clara de Valladares,6917,19.63658,-102.4912
1418,1418,San Juanito,10535,27.97295,-107.60199
1426,1426,Pihuamo,6838,19.24991,-103.38275
1431,1431,Morelos,6839,28.40676,-100.88854
1432,1432,Mezcales,20092,20.73072,-105.28257
1433,1433,Meoqui,22574,28.27226,-105.48046
1698,1698,Campanilla,7757,18.42134,-66.23683
1699,1699,Coamo,11940,18.07996,-66.35795
1701,1701,Gurabo,8973,18.2544,-65.97294
1702,1702,Las Piedras,6655,18.18301,-65.86627
1703,1703,Utuado,9844,18.26551,-66.70045
1802,1802,Constancia,6500,25.96219,-108.89937
1803,1803,Juriquilla,13309,20.71277,-100.45568
1804,1804,Jungapeo de Juárez,5073,19.45915,-100.49483
1805,1805,Ixtlán del Río,23303,21.03907,-104.37116
1806,1806,Ixtapa,8992,17.66782,-101.64165
1807,1807,Guadalupe y Calvo,5816,26.09117,-106.9626
1821,1821,Comala,9442,19.32717,-103.75926
1822,1822,Cofradía,6495,19.43333,-103.55
1824,1824,Cherán,14245,19.68536,-101.95368
1829,1829,Cajititlán,5323,20.43174,-103.3094
1831,1831,Autlán de Navarro,45382,19.76822,-104.36664
1832,1832,Atoyac,5052,20.00968,-103.51666
1838,1838,Pastor Ortíz,6630,20.30552,-101.59588
1858,1858,Antúnez (Morelos),9044,19.01278,-102.20389
1859,1859,El Pino,8332,19.35139,-98.94833
1860,1860,Monte Kristal,5640,25.62611,-100.15694
2485,2485,Yallahs,7644,17.8748,-76.56245
2487,2487,Falmouth,7779,18.49358,-77.65587
2875,2875,Sagua la Grande,62073,22.80667,-80.07556
2876,2876,Sagua de Tánamo,18282,20.58269,-75.24116
2877,2877,Media Luna,16713,20.14298,-77.43532
2879,2879,Guanabacoa,112964,23.12518,-82.30067
3514,3514,Santa Ana,9523,16.80582,-89.82708
3518,3518,San Juan Cotzal,11046,15.43368,-91.03481
3521,3521,San Benito,30764,16.91675,-89.91898
3522,3522,Río Hondo,5997,15.04505,-89.58523
3523,3523,Puerto Barrios,100593,15.72778,-88.59444
3531,3531,Dolores,10604,16.51178,-89.41704
3532,3532,Cunén,8400,15.33626,-91.02776
3534,3534,Comitancillo,59489,15.08937,-91.74971
3545,3545,Trujillo,9646,15.91667,-85.95417
3550,3550,Morazán,11076,15.31667,-87.6
3585,3585,Thomazeau,52017,18.65297,-72.09391
3586,3586,Saint-Michel de l'Atalaye,95216,19.37084,-72.33472
3588,3588,Pignon,6731,19.33594,-72.11662
3589,3589,Grangwav,49288,18.4259,-72.76995
3590,3590,Dondon,5029,19.52734,-72.24337
3825,3825,Villa Vásquez,11642,19.7411,-71.4464
3826,3826,Salcedo,45299,19.37762,-70.41762
3831,3831,Neiba,18670,18.48137,-71.41965
3832,3832,La Agustina,10457,18.5,-69.93333
3834,3834,Concepción de La Vega,102426,19.22207,-70.52956
4636,4636,San Ignacio,26151,17.1588,-89.0696
4638,4638,Beaumont,7366,53.35013,-113.41871
4639,4639,Beloeil,18927,45.56839,-73.20568
4640,4640,Boisbriand,26483,45.61678,-73.83249
4646,4646,Innisfil,7345,44.30011,-79.64964
4647,4647,Magog,15550,45.26678,-72.14909
4650,4650,Mission,33261,49.13298,-122.30258
4653,4653,Otterburn Park,8464,45.53338,-73.21585
4654,4654,Prince Albert,35102,53.20008,-105.76772
4655,4655,Prince George,74003,53.9166,-122.75301
4661,4661,Saint-Basile-le-Grand,15605,45.53338,-73.28246
4665,4665,Taber,8163,49.78703,-112.14603
4666,4666,Tam O'Shanter-Sullivan,27446,43.77977,-79.29502
4669,4669,Pleasant View,15818,43.78609,-79.33502
4670,4670,Shannon,5086,46.88026,-71.51464
4672,4672,Humewood-Cedarvale,14365,43.69137,-79.42768
4673,4673,University,7607,43.66251,-79.40118
4674,4674,Runnymede-Bloor West Village,10070,43.65927,-79.48571
5023,5023,Gilroy,53231,37.00578,-121.56828
5025,5025,Kingsburg,11824,36.51384,-119.55402
5026,5026,La Palma,15904,33.8464,-118.04673
5027,5027,Lawndale,33430,33.88724,-118.35257
5028,5028,Newport Beach,87127,33.61891,-117.92895
5029,5029,Paramount,55412,33.88946,-118.15979
5030,5030,Placerville,10650,38.72963,-120.79855
5032,5032,Prunedale,17560,36.77579,-121.66967
5034,5034,Rio Linda,15106,38.69101,-121.44857
5035,5035,Santa Barbara,91842,34.42083,-119.69819
5036,5036,Santa Cruz,64220,36.97412,-122.0308
5040,5040,Ventura,96769,34.27834,-119.29317
5041,5041,Whittier,87438,33.97918,-118.03284
5043,5043,Cherry Hills Village,6539,39.64165,-104.95943
5044,5044,Derby,7685,39.83943,-104.91859
5045,5045,Greenwood Village,15663,39.61721,-104.95081
5048,5048,Farmington,42871,36.72806,-108.21869
5050,5050,Los Chavez,5446,34.72571,-106.75726
5051,5051,North Valley,11333,35.17338,-106.62336
5052,5052,Enterprise,108481,36.02525,-115.24194
5053,5053,Johnson Lane,6490,39.04796,-119.72212
5054,5054,Lemmon Valley,5040,39.63602,-119.84325
5056,5056,Eidson Road,8960,28.6772,-100.48702
5059,5059,Muleshoe,5185,34.22647,-102.72383
5061,5061,West Odessa,22707,31.84235,-102.49876
5065,5065,West Sedona,11299,34.86724,-111.80543
5069,5069,Susanville,15247,40.41628,-120.65301
5070,5070,Fort Lupton,7822,40.08471,-104.81303
5079,5079,Scottsbluff,14802,41.86663,-103.66717
5081,5081,Creswell,5199,43.9179,-123.02453
5084,5084,Sutherlin,7912,43.39012,-123.31258
5089,5089,Bellevue,139820,47.61038,-122.20068
5090,5090,Bellingham,85146,48.75955,-122.48822
5091,5091,Birch Bay,8413,48.91789,-122.74462
5094,5094,Finley,6012,46.15402,-119.0339
5095,5095,Lacey,46409,47.03426,-122.82319
5097,5097,Othello,7809,46.82597,-119.17529
5100,5100,West Lake Sammamish,33929,47.5776,-122.10123
5101,5101,Woodland,5842,45.90456,-122.74399
5103,5103,American Fork,28326,40.3769,-111.79576
5112,5112,Wakefield-Peacedale,8487,41.44606,-71.5004
5113,5113,Mansfield Center,7360,42.02262,-71.21808
5115,5115,Minot Air Force Base,5521,48.42087,-101.33914
5116,5116,Saginaw Township North,24994,43.46004,-84.00674
5123,5123,Garden Home-Whitford,6674,45.464,-122.75891
5125,5125,West Whittier-Los Nietos,25540,33.976,-118.06909
5132,5132,Dixiana,22940,33.74021,-86.64938
5215,5215,Eloy,17059,32.7559,-111.55484
5220,5220,Sun Lakes,13975,33.21116,-111.87542
5221,5221,Tucson Estates,12192,32.18758,-111.09093
5222,5222,Winslow,9600,35.02419,-110.69736
5223,5223,Alhambra,85551,34.09529,-118.12701
5224,5224,Arvin,20876,35.20913,-118.82843
5225,5225,Bellflower,78441,33.88168,-118.11701
5226,5226,Big Bear Lake,5213,34.2439,-116.91142
5228,5228,Cherry Valley,6362,33.97252,-116.97725
5231,5231,Coronado,24812,32.68589,-117.18309
5232,5232,Cypress,49290,33.81696,-118.03729
5235,5235,Fontana,212704,34.09223,-117.43505
5236,5236,Galt,25303,38.25464,-121.29995
5237,5237,Mammoth Lakes,7946,37.64855,-118.97208
5238,5238,Olivehurst,13656,39.09545,-121.55219
5239,5239,Orland,7550,39.74738,-122.19637
5351,5351,Fortuna Foothills,26265,32.65783,-114.41189
5352,5352,Fountain Hills,23899,33.61171,-111.71736
5353,5353,Payson,15345,34.23087,-111.32514
5354,5354,Phoenix,1608139,33.44838,-112.07404
5358,5358,Woodlake,7319,37.42106,-77.67931
5359,5359,Clark-Fulton,18185,41.46402,-81.70979
5360,5360,Bridgewater,44464,40.60079,-74.64815
5440,5440,Wickenburg,6806,33.96864,-112.72962
5441,5441,Williamson,5438,34.69002,-112.54101
5442,5442,Barstow Heights,24202,34.86971,-117.05615
5444,5444,Burlingame,30459,37.5841,-122.36608
5445,5445,Calipatria,7424,33.1256,-115.51415
5446,5446,Canyon Country,59530,34.42333,-118.47203
5447,5447,Carlsbad,114746,33.15809,-117.35059
5448,5448,Castroville,6481,36.76579,-121.758
5449,5449,Cathedral City,53826,33.77974,-116.46529
5450,5450,Diamond Bar,56897,34.02862,-117.81034
5451,5451,Escondido,151038,33.11921,-117.08642
5457,5457,Orosi,8770,36.54495,-119.28734
5458,5458,Ramona,20292,33.04171,-116.86808
5461,5461,Union City,74494,37.59577,-122.01913
5462,5462,West Sacramento,52721,38.58046,-121.53023
5467,5467,Pueblo West,29637,38.35,-104.72275
5471,5471,Española,10224,35.99113,-106.08058
5474,5474,Zuni Pueblo,6302,35.07253,-108.85064
5475,5475,Paradise,223167,36.09719,-115.14666
5476,5476,Spring Valley,178395,36.10803,-115.245
5486,5486,Cedar City,30184,37.67748,-113.06189
5492,5492,Brush,5459,40.25887,-103.62384
5493,5493,Milliken,6388,40.32943,-104.85525
5494,5494,Steamboat Springs,12435,40.48498,-106.83172
5496,5496,Eagle,23612,43.69544,-116.35401
5498,5498,Laurel,6943,45.66912,-108.77153
5503,5503,Gering,8334,41.8258,-103.6605
5514,5514,Farmington,22566,40.9805,-111.88744
5515,5515,Kearns,35731,40.65995,-111.99633
5516,5516,Magna,26505,40.70911,-112.10161
5517,5517,Sandy Hills,89575,40.58106,-111.85077
5521,5521,Clarkston,7317,46.41629,-117.04557
5527,5527,Sedro-Woolley,10815,48.50389,-122.23611
5529,5529,West Valley,12655,46.59207,-120.60507
5531,5531,Yelm,8434,46.94204,-122.60596
5541,5541,Carmel Hamlet,6817,41.41485,-73.68524
5543,5543,Suitland-Silver Hill,33515,38.84685,-76.92591
5545,5545,Fort Pierce North,6474,27.47364,-80.3593
5546,5546,Vero Beach South,23092,27.61638,-80.41308
5547,5547,Zephyrhills South,5276,28.21492,-82.18873
5549,5549,Gold Canyon,10159,33.37145,-111.43691
5555,5555,Marlboro Village,9438,38.83054,-76.76965
5563,5563,Berlin,7590,39.79123,-74.92905
5570,5570,Finneytown,12741,39.20034,-84.5205
5572,5572,Monroe,13393,39.44034,-84.36216
5577,5577,Lawton,96655,34.60869,-98.39033
5581,5581,Noble,6666,35.13924,-97.39475
5582,5582,Ponca City,24758,36.70698,-97.08559
5586,5586,Gettysburg,7608,39.83093,-77.2311
5587,5587,Abbeville,5191,34.17817,-82.37901
5588,5588,Conway,21053,33.836,-79.04781
5590,5590,Fountain Inn,8317,34.68901,-82.19567
5591,5591,Greenville,64579,34.85262,-82.39401
5596,5596,Powdersville,7618,34.79178,-82.49291
5598,5598,Brentwood,41763,36.03312,-86.78278
5605,5605,Lenoir City,9091,35.7973,-84.25603
5606,5606,Oak Ridge,29302,36.01036,-84.26964
5608,5608,Signal Mountain,8528,35.12257,-85.34385
