,Unnamed: 0,villeID,size,lat,long
95530,95530,Katutura,21243,-22.52306,17.06028
95533,95533,Tchintabaraden,8851,15.8969,5.7985
95534,95534,Mirriah,20724,13.70727,9.15013
95539,95539,Soba,15715,10.98133,8.05749
95540,95540,Potiskum,86002,11.71391,11.08108
95541,95541,Orerokpe,5893,5.63747,5.89013
95542,95542,Ondo,257005,7.09316,4.83528
95545,95545,Keffi,85911,8.84651,7.87354
95548,95548,Idanre,86468,7.1127,5.1159
95549,95549,Gummi,38744,12.14484,5.11776
95551,95551,Geidam,41367,12.89439,11.92649
95556,95556,Duku,8014,11.2361,4.90727
95557,95557,Dengi,6276,9.36872,9.96223
95558,95558,Bin Yauri,11501,10.7823,4.81135
95559,95559,Bena,8361,11.28444,5.93472
95560,95560,Bauchi,693700,10.31032,9.84388
95561,95561,Ankpa,14630,7.40249,7.63196
96033,96033,An Nuşayrāt,36123,31.44861,34.3925
96034,96034,Al Burayj,34951,31.43944,34.40306
96042,96042,‘Aşīrah ash Shamālīyah,7475,32.25124,35.26716
96609,96609,Paphos,35961,34.77679,32.42451
97117,97117,Ma'rib,16794,15.46253,45.32581
97121,97121,Al Ḩazm,18241,16.16406,44.77692
97126,97126,Winburg,11072,-28.51805,27.00933
97127,97127,Virginia,122502,-28.10391,26.86593
97128,97128,Viljoenskroon,54955,-27.20841,26.94855
97129,97129,Theunissen,34718,-28.41098,26.70107
97130,97130,Margate,34407,-30.8636,30.37052
97131,97131,Lichtenburg,65863,-26.152,26.15968
97132,97132,Ga-Kgapane,13000,-23.64378,30.22324
97133,97133,eMbalenhle,141741,-26.53333,29.06667
97134,97134,Dundee,84413,-28.16678,30.23371
97135,97135,Cradock,32898,-32.16422,25.61918
97137,97137,Retreat,25745,-34.05515,18.47617
97138,97138,Nakonde,10652,-9.34213,32.745
97140,97140,Kataba,14000,-11.88333,29.78333
97141,97141,Kasempa,5622,-13.45836,25.8338
97142,97142,Choma,46746,-16.80889,26.9875
97143,97143,Mazowe,9966,-17.50404,30.97388
97153,97153,Vwawa,40145,-9.10806,32.93472
97154,97154,Uyovu,60849,-3.28333,31.52583
97155,97155,Usa River,18726,-3.36667,36.85
97156,97156,Tabora,308741,-5.01622,32.82663
97157,97157,Sumbawanga,303986,-7.96667,31.61667
97158,97158,Sikonge,27113,-5.63333,32.76667
97159,97159,Shinyanga,139727,-3.66393,33.42118
97160,97160,Mwadui,23296,-3.55,33.6
97161,97161,Mpanda,204338,-6.34379,31.06951
97162,97162,Mlangali,15168,-9.78333,34.51667
97163,97163,Mkuranga,28037,-7.11799,39.20782
97164,97164,Magugu,26131,-4.01667,35.76667
97165,97165,Lalago,22551,-3.45,33.95
97166,97166,Kibondo,28666,-3.58639,30.72028
97167,97167,Kahama,36014,-3.83333,32.6
97168,97168,Endasak,14576,-4.41667,35.51667
97169,97169,Biharamulo,34038,-2.63194,31.30889
97170,97170,Bashanet,19087,-4.23333,35.41667
97171,97171,Namalenga,11204,-10.95,39.1
97172,97172,Mbamba Bay,8997,-11.28333,34.76667
97271,97271,Masaka,65373,-0.33379,31.73409
97272,97272,Busembatia,15889,0.77725,33.62364
97273,97273,Bugiri,22500,0.57139,33.74167
97390,97390,Garbahaarrey,12652,3.32892,42.22091
97391,97391,Cabudwaaq,120000,6.24585,46.2247
97392,97392,Yirol,11650,6.5525,30.49806
97393,97393,Kafia Kingi,16000,9.27345,24.41701
97398,97398,Ţarţūs,458327,34.88902,35.88659
97401,97401,Shaykh Miskīn,25920,32.82666,36.16052
97413,97413,An Nabk,49372,34.02403,36.72848
97416,97416,Fianga,31668,9.9146,15.1399
97417,97417,Kpalimé,75084,6.9,0.63333
97463,97463,As Sanad,7859,34.4628,9.26404
97464,97464,El Golaa,7189,33.48485,9.00678
97719,97719,Farasān,10527,16.70222,42.11833
97721,97721,Al Bahah,88419,20.01288,41.46767
97722,97722,Afif,45525,23.9065,42.91724
97723,97723,Al Kawa,10167,13.7463,32.4996
97909,97909,Mersa,36300,11.66667,39.65
97910,97910,Lumamē,20900,10.25,37.93333
97911,97911,Kombolcha,132100,11.08155,39.74339
97912,97912,Kebri Dahar,45900,6.74,44.27806
97913,97913,Inda Silasē,100100,14.10307,38.28289
97914,97914,Gorē,9352,8.15,35.53333
97915,97915,Goba,66500,7.01667,39.98333
97916,97916,Dīla,158800,6.41667,38.31667
97917,97917,Debre Mark’os,140700,10.35,37.73333
97918,97918,Āsosa,69700,10.06667,34.53333
97919,97919,Hagere Maryam,57700,5.63418,38.23603
97920,97920,Addis Ababa,3860000,9.02497,38.74689
97921,97921,Wonji,29200,8.4541,39.21752
98484,98484,Raymūn,6082,32.28202,35.82779
98485,98485,Malkā,6856,32.67645,35.74851
98486,98486,Al Azraq ash Shamālī,14800,31.88209,36.83017
98487,98487,Al Ḩamrā’,6211,32.44017,36.15265
98682,98682,Yeroẖam,10294,30.98822,34.93176
98686,98686,Tiberias,44779,32.79221,35.53124
98693,98693,Kafr Kannā,22751,32.7466,35.34242
98695,98695,Hod HaSharon,63175,32.15934,34.8932
98696,98696,Buqei‘a,5893,32.97747,35.33345
98697,98697,Basmat Ṭab‘ūn,7916,32.73898,35.15716
98703,98703,Tsur Itshak,6044,32.24047,34.99788
98958,98958,Medina Estates,101207,5.6658,-0.16307
98959,98959,Tema New Town,95837,5.65396,0.0264
98960,98960,Assin Foso,37230,5.7,-1.65
99173,99173,‘Alī al Gharbī,19711,32.46186,46.68794
99174,99174,‘Afak,21888,32.0643,45.24743
99180,99180,Kāmyārān,61642,34.79535,46.93682
99226,99226,Werota,47800,11.91667,37.7
99227,99227,Sek’ot’a,50300,12.63056,39.03472
99317,99317,Goré,30936,8.65,16.51667
99318,99318,Vogan,20569,6.33333,1.53333
99319,99319,Niamtougou,23261,9.76806,1.10528
99360,99360,Zarzis,79316,33.50398,11.11215
99361,99361,Douz,28127,33.46632,9.0203
99453,99453,Usagara,15514,-2.68333,33.0
99454,99454,Pangani,8343,-5.42526,38.97473
99455,99455,Matonga,11828,-2.38333,34.08333
99456,99456,Kisesa,29804,-3.08333,34.15
99457,99457,Kimamba,11235,-6.78333,37.13333
99458,99458,Ilongero,17342,-4.66667,34.86667
99459,99459,Geita,40000,-2.8725,32.2325
99460,99460,Arusha,617631,-3.36667,36.68333
99461,99461,Matiri,18830,-10.75,34.9
99462,99462,Kigonsera,22155,-10.8,35.05
99552,99552,Njeru,61952,0.44166,33.17917
99553,99553,Masindi,31486,1.67444,31.715
99555,99555,Arua,55585,3.02013,30.91105
99948,99948,Shūkat aş Şūfī,10566,31.25997,34.2826
99951,99951,Ţūlkarm,44169,32.31156,35.0269
99952,99952,Sinjil,5371,32.03334,35.26545
99960,99960,Bidyā,8065,32.1146,35.08028
99961,99961,Bayt Līd,5740,32.26089,35.13169
99963,99963,Bayt Ūlā,9159,31.59618,35.0296
99964,99964,‘Attīl,10100,32.36935,35.07189
100215,100215,Mislīyah,6117,17.45988,42.5572
100216,100216,Julayjilah,5359,25.5,49.6
100217,100217,Qaisumah,20685,28.31117,46.12729
100218,100218,Tumayr,8246,25.70347,45.86835
100221,100221,Kuraymah,19593,18.55,31.85
100222,100222,Atbara,107930,17.70217,33.98638
100474,100474,Naro Moru,9018,-0.16357,37.01773
100475,100475,Nanyuki,72813,0.00624,37.07398
100476,100476,Msambweni,14951,-4.4619,39.48265
100477,100477,Moyale,47850,3.52661,39.0561
100478,100478,Mazeras,16254,-3.96426,39.5498
100479,100479,Malaba,15581,0.63513,34.28165
100480,100480,Lodwar,82970,3.11988,35.59642
100481,100481,Moi‘s Bridge,16355,0.87178,35.12213
100482,100482,Baringo,7656,0.46667,35.96667
100483,100483,Mairo Inya,30527,0.02538,36.40865
100495,100495,Mirontsi,11955,-12.1604,44.40986
100512,100512,Az Zawr,5750,29.4425,48.27472
100513,100513,As Sālimīyah,147649,29.33389,48.07611
100524,100524,Sidon,163554,33.55751,35.37148
100532,100532,Karnplay,8431,7.26972,-8.50389
100533,100533,Teyateyaneng,27272,-29.14719,27.74895
